지점,지점명,일시,평균기온(°C),평균최고기온(°C),최고기온(°C),평균최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온(°C),최저기온 나타난날(yyyymmdd),평균 풍속(m/s),최대 순간 풍속(m/s),최대 순간 풍속 풍향(deg),최대 순간 풍속 나타난날(yyyymmdd),강수량합(mm)
411,신촌로,2020,13.6,18.5,36.6,9.8,20200622,-12.9,20201230,2.6,17.6,261.6,20200108,1256
412,서대문구,2015,13.1,18.4,34.7,8.8,20150807,-13.6,20150209,1.3,10.8,284.1,20150322,741
412,서대문구,2016,13.4,18.7,36,9.1,20160804,-17.5,20160124,1.3,12.7,258.8,20160504,997
412,서대문구,2017,12.6,18,36.1,8.2,20170805,-13.1,20170123,1.3,10.6,309.4,20170401,1134.5
412,서대문구,2018,12.5,18,39.4,8.2,20180801,-18.1,20180126,1.4,13,219.4,20180410,1207
412,서대문구,2019,13.2,18.9,36.7,8.8,20190806,-11.2,20191206,1.3,15,163.1,20190907,864
412,서대문구,2020,12.9,18.2,36.4,8.6,20200622,-13.4,20201231,1.3,15.1,129.3,20201103,1603.5
413,광진구,2015,14.3,18.9,36,10.4,20150807,-10.4,20150208,1.7,14.8,323.4,20150310,832
413,광진구,2016,13.9,18.5,36.1,9.9,20160811,-21.7,20160124,1.6,17.2,233.4,20160504,1011
413,광진구,2017,13.3,18,36.9,9.2,20170805,-10.8,20171214,1.6,11.6,239.1,20170506,1011.5
413,광진구,2018,13.2,17.9,40.7,9.1,20180801,-16.7,20180126,1.6,11.9,244.7,20180406,1124.5
413,광진구,2019,13.9,18.7,37,9.5,20190810,-9.5,20191231,1.5,14,104.1,20190907,1070
413,광진구,2020,13.6,18.3,36.3,9.6,20200622,-11.9,20201230,1.5,12,258.8,20200319,1383.5
414,성북구,2015,13.7,18.3,35.9,9.6,20150807,-12.1,20150209,1.6,17.2,202.5,20150512,809
414,성북구,2016,13.4,17.9,35.8,9.3,20160812,-17.7,20160124,1.5,21.4,219.4,20160503,1120.5
414,성북구,2017,12.7,17.3,35.3,8.6,20170805,-12.5,20171212,1.6,18.1,225,20170824,1256.5
414,성북구,2018,12.6,17.3,38.9,8.6,20180801,-18.1,20180126,1.6,21.5,210.9,20180410,1461.5
414,성북구,2019,13.3,18.1,36.6,9,20190806,-11.7,20191231,1.5,25,188.4,20190907,928.5
414,성북구,2020,12,16.2,32.6,8.1,20200622,-13.9,20201231,1.6,21.3,329.1,20200903,1762.5
414,정릉로,2015,13.7,18.3,35.9,9.6,20150807,-12.1,20150209,1.6,17.2,202.5,20150512,809
414,정릉로,2016,13.4,17.9,35.8,9.3,20160812,-17.7,20160124,1.5,21.4,219.4,20160503,1120.5
414,정릉로,2017,12.7,17.3,35.3,8.6,20170805,-12.5,20171212,1.6,18.1,225,20170824,1256.5
414,정릉로,2018,12.6,17.3,38.9,8.6,20180801,-18.1,20180126,1.6,21.5,210.9,20180410,1461.5
414,정릉로,2019,13.3,18.1,36.6,9,20190806,-11.7,20191231,1.5,25,188.4,20190907,928.5
414,정릉로,2020,12,16.2,32.6,8.1,20200622,-13.9,20201231,1.6,21.3,329.1,20200903,1762.5
415,용산구,2015,14.3,18.8,36.2,10.4,20150807,-11.1,20150208,1.8,15.3,219.4,20150402,793.5
415,용산구,2016,14.4,19,37.1,10.7,20160811,-16.7,20160124,1.7,16.2,227.8,20160503,846.5
415,용산구,2017,13.7,18.2,36.7,9.7,20170805,-11.4,20171212,1.7,17.1,230.6,20170513,951.5
415,용산구,2018,13.7,18.2,39.8,9.8,20180815,-17.2,20180126,1.8,16.9,222.2,20180410,1150
415,용산구,2019,14.3,18.9,38.2,10.3,20190806,-10.4,20191231,1.7,16.1,185.6,20190907,934
415,용산구,2020,13.9,18.4,36.7,10.1,20200826,-12.5,20201230,1.9,18.1,230.6,20200319,1447
416,은평구,2015,12,18.2,34.7,6.5,20150711,-16.4,20150209,0.9,11.1,143.4,20150402,680
416,은평구,2016,12,18.2,35.7,6.5,20160805,-20,20160124,0.8,10.4,157.5,20161221,867
416,은평구,2017,,,34,,20170805,-17.2,20170123,,12.1,337.5,20171022,1121
416,은평구,2018,11.2,17.4,38.3,5.7,20180801,-20.3,20180126,0.9,13.6,61.9,20181006,1324.5
416,은평구,2019,11.7,18.1,36.2,6,20190806,-14.3,20191206,0.9,13,151.9,20190907,958
416,은평구,2020,11.5,17.8,35.1,6.2,20200622,-16.8,20201231,,15.5,171.6,20200827,1561
417,시흥대로,2015,13.7,18.2,35.8,9.9,20150807,-11.8,20150208,1.8,13.2,196.9,20150402,836
417,시흥대로,2016,14,18.4,37.1,10.3,20160811,-17.4,20160124,1.7,12.7,180,20160503,962
417,시흥대로,2017,13.3,17.7,36.8,9.5,20170805,-11.7,20171212,1.8,12.2,205.3,20170414,886
417,시흥대로,2018,13.6,17.9,38.7,10,20180801,-18,20180126,1.8,14.9,213.8,20180410,1154
417,시흥대로,2019,14.3,18.7,37.6,10.7,20190806,-9.8,20191231,1.7,20.1,205.3,20190907,909.5
417,시흥대로,2020,14,18.3,35.7,10.5,20200826,-12.1,20201230,1.7,14.1,157.5,20200827,1560
417,금천구,2015,13.7,18.2,35.8,9.9,20150807,-11.8,20150208,1.8,13.2,196.9,20150402,836
417,금천구,2016,14,18.4,37.1,10.3,20160811,-17.4,20160124,1.7,12.7,180,20160503,962
417,금천구,2017,13.3,17.7,36.8,9.5,20170805,-11.7,20171212,1.8,12.2,205.3,20170414,886
417,금천구,2018,13.6,17.9,38.7,10,20180801,-18,20180126,1.8,14.9,213.8,20180410,1154
417,금천구,2019,14.3,18.7,37.6,10.7,20190806,-9.8,20191231,1.7,20.1,205.3,20190907,909.5
417,금천구,2020,14,18.3,35.7,10.5,20200826,-12.1,20201230,1.7,14.1,157.5,20200827,1560
419,종로구,2015,12.7,17.9,35.1,8.9,20150807,-13.5,20150209,2.1,15.1,296.7,20150323,708
419,종로구,2016,12.9,18,36.3,9.1,20160811,-18.9,20160124,2,14.6,289.7,20160119,759
419,종로구,2017,12.1,17.4,35.6,8.2,20170805,-13.9,20171212,1.9,13.8,289.5,20171210,846.5
419,종로구,2018,11.9,17,38.4,8.1,20180801,-19.6,20180126,2.1,15.1,294.5,20181207,814.5
419,종로구,2019,12.5,17.9,36.6,8.5,20190803,-12.7,20191231,1.9,16.1,316.2,20190108,674.5
419,종로구,2020,12.3,17.5,36.6,8.6,20200622,-14.7,20201230,1.9,22.8,334.6,20200903,1227
419,종로,2015,12.7,17.9,35.1,8.9,20150807,-13.5,20150209,2.1,15.1,296.7,20150323,708
419,종로,2016,12.9,18,36.3,9.1,20160811,-18.9,20160124,2,14.6,289.7,20160119,759
419,종로,2017,12.1,17.4,35.6,8.2,20170805,-13.9,20171212,1.9,13.8,289.5,20171210,846.5
419,종로,2018,11.9,17,38.4,8.1,20180801,-19.6,20180126,2.1,15.1,294.5,20181207,814.5
419,종로,2019,12.5,17.9,36.6,8.5,20190803,-12.7,20191231,1.9,16.1,316.2,20190108,674.5
419,종로,2020,12.3,17.5,36.6,8.6,20200622,-14.7,20201230,1.9,22.8,334.6,20200903,1227
419,청계천로,2015,12.7,17.9,35.1,8.9,20150807,-13.5,20150209,2.1,15.1,296.7,20150323,708
419,청계천로,2016,12.9,18,36.3,9.1,20160811,-18.9,20160124,2,14.6,289.7,20160119,759
419,청계천로,2017,12.1,17.4,35.6,8.2,20170805,-13.9,20171212,1.9,13.8,289.5,20171210,846.5
419,청계천로,2018,11.9,17,38.4,8.1,20180801,-19.6,20180126,2.1,15.1,294.5,20181207,814.5
419,청계천로,2019,12.5,17.9,36.6,8.5,20190803,-12.7,20191231,1.9,16.1,316.2,20190108,674.5
419,청계천로,2020,12.3,17.5,36.6,8.6,20200622,-14.7,20201230,1.9,22.8,334.6,20200903,1227
419,중구,2015,12.7,17.9,35.1,8.9,20150807,-13.5,20150209,2.1,15.1,296.7,20150323,708
419,중구,2016,12.9,18,36.3,9.1,20160811,-18.9,20160124,2,14.6,289.7,20160119,759
419,중구,2017,12.1,17.4,35.6,8.2,20170805,-13.9,20171212,1.9,13.8,289.5,20171210,846.5
419,중구,2018,11.9,17,38.4,8.1,20180801,-19.6,20180126,2.1,15.1,294.5,20181207,814.5
419,중구,2019,12.5,17.9,36.6,8.5,20190803,-12.7,20191231,1.9,16.1,316.2,20190108,674.5
419,중구,2020,12.3,17.5,36.6,8.6,20200622,-14.7,20201230,1.9,22.8,334.6,20200903,1227
419,한강대로,2015,12.7,17.9,35.1,8.9,20150807,-13.5,20150209,2.1,15.1,296.7,20150323,708
419,한강대로,2016,12.9,18,36.3,9.1,20160811,-18.9,20160124,2,14.6,289.7,20160119,759
419,한강대로,2017,12.1,17.4,35.6,8.2,20170805,-13.9,20171212,1.9,13.8,289.5,20171210,846.5
419,한강대로,2018,11.9,17,38.4,8.1,20180801,-19.6,20180126,2.1,15.1,294.5,20181207,814.5
419,한강대로,2019,12.5,17.9,36.6,8.5,20190803,-12.7,20191231,1.9,16.1,316.2,20190108,674.5
419,한강대로,2020,12.3,17.5,36.6,8.6,20200622,-14.7,20201230,1.9,22.8,334.6,20200903,1227
419,남산,2015,12.7,17.9,35.1,8.9,20150807,-13.5,20150209,2.1,15.1,296.7,20150323,708
419,남산,2016,12.9,18,36.3,9.1,20160811,-18.9,20160124,2,14.6,289.7,20160119,759
419,남산,2017,12.1,17.4,35.6,8.2,20170805,-13.9,20171212,1.9,13.8,289.5,20171210,846.5
419,남산,2018,11.9,17,38.4,8.1,20180801,-19.6,20180126,2.1,15.1,294.5,20181207,814.5
419,남산,2019,12.5,17.9,36.6,8.5,20190803,-12.7,20191231,1.9,16.1,316.2,20190108,674.5
419,남산,2020,12.3,17.5,36.6,8.6,20200622,-14.7,20201230,1.9,22.8,334.6,20200903,1227
421,성동구,2015,14.3,18.5,35.2,10.8,20150807,-10.2,20150209,2,18.4,219.4,20150402,791
421,성동구,2016,14.6,18.7,36.8,11.1,20160805,-15.7,20160124,2,20.4,261.6,20160504,951.5
421,성동구,2017,14,18.1,36.3,10.4,20170805,-10.2,20171212,2.1,18.1,230.6,20170513,1207.5
421,성동구,2018,13.9,18,39.8,10.3,20180801,-16.2,20180126,2.1,21.6,199.7,20180410,1297.5
421,성동구,2019,14.5,18.6,37,10.9,20190805,-9,20191231,1.9,27.9,174.4,20190907,976
421,성동구,2020,14.2,18.2,35,10.9,20200826,-11,20201230,2,20.6,281.3,20200319,1567
421,강변북로,2015,14.3,18.5,35.2,10.8,20150807,-10.2,20150209,2,18.4,219.4,20150402,791
421,강변북로,2016,14.6,18.7,36.8,11.1,20160805,-15.7,20160124,2,20.4,261.6,20160504,951.5
421,강변북로,2017,14,18.1,36.3,10.4,20170805,-10.2,20171212,2.1,18.1,230.6,20170513,1207.5
421,강변북로,2018,13.9,18,39.8,10.3,20180801,-16.2,20180126,2.1,21.6,199.7,20180410,1297.5
421,강변북로,2019,14.5,18.6,37,10.9,20190805,-9,20191231,1.9,27.9,174.4,20190907,976
421,강변북로,2020,14.2,18.2,35,10.9,20200826,-11,20201230,2,20.6,281.3,20200319,1567
423,궁동,2015,13.5,18.5,35.7,9.2,20150807,-11.5,20150209,2.1,17.6,225,20150402,788
423,궁동,2016,13.6,18.6,35.8,9.4,20160821,-16.9,20160124,2.1,19.6,227.8,20160504,915.5
423,궁동,2017,12.8,17.9,36.5,8.5,20170805,-11.7,20171212,2,22.5,191.3,20170824,951
423,궁동,2018,12.8,18,38.9,8.6,20180801,-17.5,20180126,2.1,22.5,216.6,20180410,1174
423,궁동,2019,13.6,18.7,38,9.1,20190806,-10.2,20190208,1.9,29.4,205.3,20190907,931.5
423,궁동,2020,13.5,18.2,35.3,9.4,20200825,-11.9,20201231,2.1,21.9,149.1,20200827,1435
424,강북구,2015,14,18.7,35.5,9.9,20150806,-11.4,20150209,1.9,20.8,286.9,20150808,861.5
424,강북구,2016,14.1,18.8,37,10.1,20160804,-17,20160124,1.9,24,295.3,20160504,1051
424,강북구,2017,13.3,18,36.1,9.3,20170725,-12,20171212,1.9,17.8,225,20170506,1277
424,강북구,2018,13.3,18.1,41.8,9.3,20180801,-17.4,20180126,1.9,18.4,272.8,20180108,1391.5
424,강북구,2019,14,18.9,38.9,9.7,20190806,-10.3,20191231,1.8,26,154.7,20190907,942
424,강북구,2020,13.8,18.5,37.1,9.8,20200825,-12.4,20201230,1.9,25.2,284.1,20200903,1716
510,영등포구,2015,14.5,18.9,35.9,11,20150807,-10.6,20150208,1.5,10.8,160.3,20150402,804.5
510,영등포구,2016,14.7,19.1,37.2,11.2,20160805,-16,20160124,1.3,10.6,174.4,20160418,883.5
510,영등포구,2017,14,18.5,36.2,10.5,20170805,-10.6,20171212,1.2,11.3,137.8,20170824,1084.5
510,영등포구,2018,14,18.4,39.7,10.4,20180815,-16.4,20180126,1.1,11,182.8,20180410,1190
510,영등포구,2019,14.6,19.1,38.2,11,20190810,-9.6,20191231,1,12.7,292.5,20190907,934.5
510,영등포구,2020,14.2,18.6,36.3,10.8,20200825,-11.7,20201230,1,9.6,196.9,20200629,1437
510,영등포로,2015,14.5,18.9,35.9,11,20150807,-10.6,20150208,1.5,10.8,160.3,20150402,804.5
510,영등포로,2016,14.7,19.1,37.2,11.2,20160805,-16,20160124,1.3,10.6,174.4,20160418,883.5
510,영등포로,2017,14,18.5,36.2,10.5,20170805,-10.6,20171212,1.2,11.3,137.8,20170824,1084.5
510,영등포로,2018,14,18.4,39.7,10.4,20180815,-16.4,20180126,1.1,11,182.8,20180410,1190
510,영등포로,2019,14.6,19.1,38.2,11,20190810,-9.6,20191231,1,12.7,292.5,20190907,934.5
510,영등포로,2020,14.2,18.6,36.3,10.8,20200825,-11.7,20201230,1,9.6,196.9,20200629,1437
889,동작대로,2015,13.3,19.2,35.7,8.1,20150807,-12.4,20150209,1.1,11.1,208.1,20150402,914
889,동작대로,2016,13.6,19.4,37,8.4,20160804,-16.4,20160124,1.1,12.7,241.9,20160504,977
889,동작대로,2017,12.8,18.6,36.6,7.5,20170725,-14,20170124,1.1,11.6,239.1,20170414,1100
889,동작대로,2018,12.8,18.8,39.9,7.6,20180801,-17,20180126,1.1,14.3,253.1,20180828,1247.5
889,동작대로,2019,13.3,19.4,37.9,8,20190806,-11.6,20190109,1,13.1,205.3,20190907,955
889,동작대로,2020,13.2,19.1,36.2,8.2,20200825,-12.3,20200206,1.1,12.5,253.1,20200319,1581.5
425,동작구,2015,12.8,17.8,35,8.5,20150807,-12.5,20150209,1.3,14.3,312.2,20150309,1081.5
425,동작구,2016,12.9,17.7,34.7,8.6,20160805,-19.5,20160124,1.3,17.2,326.3,20160504,1208
425,동작구,2017,12.4,17.2,34.7,7.9,20170805,-14.5,20170124,1.4,14.1,137.8,20170414,1264.5
425,동작구,2018,12.3,17.1,38.8,7.8,20180801,-23.5,20180126,1.3,16.9,157.5,20180410,1400.5
425,동작구,2019,13,18,35.4,8.4,20190806,-12.4,20191206,1.1,20.1,180,20190907,1058.5
425,동작구,2020,13.1,18.1,35,8.7,20200622,-14.2,20200206,1.1,15.4,348.8,20200903,1820.5
